PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Lot_Frontage_%,Living_Area_%of_Lot,Interior_Area_%of_Lot,1stFlr_%of_Living_Area,Total_Bathrooms_prorated,Kitchens_prorated,Home_Age,Yrs_Since_Remodel
909176150,856,126000,30,RL,57.69808476128298,7890,Pave,No Alley Access,3,Lvl,1,Corner,0,SWISU,Norm,Norm,1Fam,1Story,5,5,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,No Veneer,0.0,1,2,CBlock,3,3,1,3,238.0,1,0.0,618.0,856.0,GasA,2,Y,3,856,0,0,1.0,0.0,1,0,2,1,2,4,6,1,4,Detchd,1939.0,1,2.0,399.0,3,3,2,0,0,0,0,166,0,0,0,No Misc Feature,0,3,2010,WD ,Normal,0.0073128117568166005,0.10849176172370088,0.267553865652725,1.0,1.75,0.6000000000000001,71,60
905476230,1049,139500,120,RL,42.0,4235,Pave,No Alley Access,3,Lvl,1,Inside,0,Edwards,Norm,Norm,TwnhsE,1Story,4,4,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,2,2,CBlock,4,3,2,6,552.0,5,393.0,104.0,1049.0,GasA,2,Y,3,1049,0,0,1.0,0.0,2,0,2,1,3,5,6,0,0,Attchd,1984.0,3,1.0,266.0,3,3,2,0,105,0,0,0,0,0,0,No Misc Feature,0,2,2009,WD ,Normal,0.009917355371900827,0.24769775678866587,0.5582054309327037,1.0,2.75,0.8,25,25
911128020,1001,124900,30,C (all),60.0,6060,Pave,No Alley Access,3,Lvl,1,Inside,0,IDOTRR,Norm,Norm,1Fam,1Story,4,8,1930,2007,Hip,CompShg,MetalSd,MetalSd,No Veneer,0.0,2,2,BrkTil,3,3,1,5,737.0,1,0.0,100.0,837.0,GasA,4,Y,3,1001,0,0,0.0,0.0,1,0,2,1,3,5,6,0,0,Detchd,1930.0,1,1.0,216.0,3,1,0,154,0,42,86,0,0,0,0,No Misc Feature,0,11,2007,WD ,Normal,0.009900990099009901,0.16518151815181517,0.33894389438943895,1.0,1.0,0.8,77,0
535377150,1039,114000,70,RL,80.0,8146,Pave,No Alley Access,3,Lvl,1,Corner,0,OldTown,Norm,Norm,1Fam,2Story,3,7,1900,2003,Gable,CompShg,MetalSd,MetalSd,No Veneer,0.0,2,3,BrkTil,2,3,1,1,0.0,1,0.0,405.0,405.0,GasA,3,Y,3,717,322,0,0.0,0.0,1,0,2,1,2,6,6,0,0,Detchd,1940.0,1,1.0,281.0,3,3,0,0,0,168,0,111,0,0,0,No Misc Feature,0,5,2009,WD ,Normal,0.009820770930518046,0.12754726246010312,0.21176037318929536,0.6900866217516843,1.0,0.6000000000000001,109,6
534177230,1665,227000,60,RL,70.0,8400,Pave,No Alley Access,3,Lvl,1,Inside,0,NWAmes,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,No Veneer,0.0,2,2,PConc,4,3,1,6,643.0,1,0.0,167.0,810.0,GasA,4,Y,3,810,855,0,1.0,0.0,2,1,3,1,3,6,6,0,0,Attchd,2001.0,3,2.0,528.0,3,3,2,0,45,0,0,0,0,0,0,No Misc Feature,0,11,2009,WD ,Normal,0.008333333333333333,0.1982142857142857,0.3575,0.4864864864864865,3.625,0.8,8,8
908128060,1922,198500,85,RL,64.0,7301,Pave,No Alley Access,3,Lvl,1,Corner,0,Edwards,Norm,Norm,1Fam,SFoyer,6,4,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,2,2,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,4,Y,3,495,1427,0,0.0,0.0,3,0,4,1,3,7,6,1,5,BuiltIn,2003.0,2,2.0,672.0,3,3,2,0,0,177,0,0,0,0,0,No Misc Feature,0,7,2009,ConLD,Normal,0.0087659224763731,0.26325160936857966,0.3552937953704972,0.2575442247658689,3.0,0.8,6,6
902135020,936,93000,20,RM,60.0,6000,Pave,Pave,3,Bnk,1,Inside,1,OldTown,Norm,Norm,2fmCon,1Story,3,3,1953,1953,Gable,CompShg,MetalSd,MetalSd,No Veneer,0.0,0,2,CBlock,2,3,1,1,0.0,1,0.0,936.0,936.0,GasA,2,N,3,936,0,0,0.0,0.0,1,0,2,1,2,4,4,0,0,Detchd,1974.0,1,2.0,576.0,3,3,2,0,32,112,0,0,0,0,0,No Misc Feature,0,2,2009,WD ,Normal,0.01,0.156,0.408,1.0,1.0,0.6000000000000001,56,56
528228540,1246,187687,20,RL,53.0,3710,Pave,No Alley Access,3,Lvl,1,Inside,0,Blmngtn,Norm,Norm,1Fam,1Story,6,4,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,2,2,PConc,4,3,4,1,0.0,1,0.0,1146.0,1146.0,GasA,4,Y,3,1246,0,0,0.0,0.0,2,0,2,1,3,5,6,1,4,Attchd,2007.0,3,2.0,428.0,3,3,2,100,24,0,0,0,0,0,0,No Misc Feature,0,3,2008,New,Partial,0.014285714285714285,0.33584905660377357,0.7601078167115903,1.0,2.0,0.8,1,0
923426010,889,137500,20,RL,74.0,12395,Pave,No Alley Access,3,Lvl,1,Corner,0,Mitchel,Norm,Norm,1Fam,1Story,4,5,1984,1984,Gable,CompShg,HdBoard,Plywood,No Veneer,0.0,1,2,CBlock,3,3,1,5,647.0,1,0.0,217.0,864.0,GasA,2,Y,3,889,0,0,0.0,0.0,1,0,3,1,2,6,6,0,0,Attchd,1984.0,1,2.0,484.0,3,3,2,0,0,0,0,0,0,0,0,No Misc Feature,0,4,2008,WD ,Normal,0.005970149253731343,0.07172246873739412,0.18047599838644615,1.0,1.0,0.6000000000000001,24,24
908186050,1072,140000,180,RM,35.0,3675,Pave,No Alley Access,3,Lvl,1,Inside,0,Edwards,Norm,Norm,TwnhsE,SFoyer,5,4,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,1,2,PConc,4,3,4,6,467.0,1,0.0,80.0,547.0,GasA,4,Y,3,1072,0,0,1.0,0.0,1,0,2,1,3,5,6,0,0,Basment,2005.0,3,2.0,525.0,3,3,2,0,44,0,0,0,0,0,0,No Misc Feature,0,5,2007,WD ,Normal,0.009523809523809525,0.2917006802721088,0.5834013605442177,1.0,1.75,0.8,2,2
