Feature,Importance,|SHAP value|
OverallQual,0.18291710081537538,19452.69107523464
GrLivArea,0.12685692835645104,13362.075075802104
BsmtFinSF1,0.01708380865072222,4196.664690491199
TotalBsmtSF,0.01645004298363667,4576.926253090883
LotArea,0.01638793756317337,3358.7935451481408
YearBuilt,0.01578360473833258,5103.509855023255
1stFlrSF,0.011928286216499728,3216.711505325814
OverallCond,0.0110229447313271,3190.5038773596816
GarageArea,0.00937981639462957,2773.744476397563
YearRemodAdd,0.007437459936113333,3363.944063550264
KitchenQual,0.006328992244858378,3777.8267406982823
Fireplaces,0.0045496169671868205,1641.3911559928863
BsmtExposure,0.004065177044302426,1642.6633317294006
GarageCars,0.0036843604466090694,2406.0726449173185
ExterQual,0.002923252425473999,2175.293756954983
MasVnrArea,0.0029020851202228304,565.5037275811337
Neighborhood_Crawfor,0.002822265968636939,884.9806322829829
MoSold,0.002647579313251769,578.6516082862095
LotFrontage,0.0023185028195016667,372.1372458607143
BsmtFinType1,0.0023058219034955084,1932.9537453193018
BsmtQual,0.0022621090506882656,1153.1891392742734
FireplaceQu,0.0021974062046811404,2023.606939008822
WoodDeckSF,0.001969916129356575,703.493141821217
2ndFlrSF,0.001879289752819302,645.0122632989468
ScreenPorch,0.0018560724764924651,648.7076097380524
OpenPorchSF,0.0018384464039259308,283.41318219920674
Exterior1st_BrkFace,0.001750123697151773,530.7282676484325
Condition1_Norm,0.0017476596117103837,791.9094938251254
Neighborhood_Somerst,0.0016674682531742646,774.9988702834787
FullBath,0.001653342505541322,1004.9468571407749
Functional,0.0015333839981061304,609.7540057191407
SaleCondition_Partial,0.0013963919981565987,410.9460735645817
Neighborhood_Edwards,0.001267473034012334,418.72696916620947
BsmtFullBath,0.00098482734445684,816.1286446454606
GarageYrBlt,0.0009601773774663757,430.686015949441
BsmtUnfSF,0.0009268089603470698,208.05241654900559
HeatingQC,0.0008884459273341804,740.3332154320885
LandContour_Bnk,0.0008690149214903963,241.32908357119163
Neighborhood_NoRidge,0.0008576911004510524,257.2021279579178
MSZoning_RL,0.0008202163683955433,933.9043511739065
BedroomAbvGr,0.0007749604989347958,153.22373725160568
GarageFinish,0.0007552930152274984,952.4646712353915
Neighborhood_StoneBr,0.0007396996959802005,227.05716630464804
SaleCondition_Normal,0.0007366102297878596,262.3439919064188
Neighborhood_NridgHt,0.0006604591135815352,228.14077689049583
MSSubClass_60,0.0006194805147092253,860.4908031377672
Neighborhood_BrkSide,0.000497277831067533,236.43843205629588
HalfBath,0.0003866768301798884,374.06490515053935
